filename;left;top
pdp10ki10_size=1900_Hintergrund.png;0; 0
pdp10ki10_size=1900_black.png;53; 26
pdp10ki10_size=1900_frame.png;50; 24
pdp10ki10_size=1900_background.png;0; 0
pdp10ki10_size=1900_org_picture.png;0; 0
pdp10ki10_size=1900_background_buttons_row11.png;678; 753
pdp10ki10_size=1900_background_buttons_row10.png;120; 672
pdp10ki10_size=1900_background_buttons_row9.png;597; 590
pdp10ki10_size=1900_background_lamps_row8.png;148; 554
pdp10ki10_size=1900_background_lamps_row7.png;855; 525
pdp10ki10_size=1900_background_lamps_row6.png;152; 504
pdp10ki10_size=1900_background_lamps_row5.png;153; 453
pdp10ki10_size=1900_background_lamps_row4.png;131; 404
pdp10ki10_size=1900_sw_DEPOSIT_NEXT_down_on.png;1636; 764
pdp10ki10_size=1900_sw_DEPOSIT_NEXT_down_off.png;1637; 764
pdp10ki10_size=1900_sw_DEPOSIT_NEXT_up_on.png;1636; 761
pdp10ki10_size=1900_sw_DEPOSIT_NEXT_up_off.png;1636; 761
pdp10ki10_size=1900_sw_DEPOSIT_THIS_down_on.png;1593; 764
pdp10ki10_size=1900_sw_DEPOSIT_THIS_down_off.png;1592; 764
pdp10ki10_size=1900_sw_DEPOSIT_THIS_up_on.png;1592; 761
pdp10ki10_size=1900_sw_DEPOSIT_THIS_up_off.png;1591; 761
pdp10ki10_size=1900_sw_EXAMINE_NEXT_down_on.png;1507; 764
pdp10ki10_size=1900_sw_EXAMINE_NEXT_down_off.png;1506; 764
pdp10ki10_size=1900_sw_EXAMINE_NEXT_up_on.png;1506; 760
pdp10ki10_size=1900_sw_EXAMINE_NEXT_up_off.png;1506; 760
pdp10ki10_size=1900_sw_EXAMINE_THIS_down_on.png;1464; 763
pdp10ki10_size=1900_sw_EXAMINE_THIS_down_off.png;1464; 763
pdp10ki10_size=1900_sw_EXAMINE_THIS_up_on.png;1463; 760
pdp10ki10_size=1900_sw_EXAMINE_THIS_up_off.png;1463; 760
pdp10ki10_size=1900_sw_XCT_down_on.png;1420; 764
pdp10ki10_size=1900_sw_XCT_down_off.png;1421; 764
pdp10ki10_size=1900_sw_XCT_up_on.png;1420; 761
pdp10ki10_size=1900_sw_XCT_up_off.png;1420; 761
pdp10ki10_size=1900_sw_RESET_down_on.png;1377; 764
pdp10ki10_size=1900_sw_RESET_down_off.png;1377; 764
pdp10ki10_size=1900_sw_RESET_up_on.png;1377; 762
pdp10ki10_size=1900_sw_RESET_up_off.png;1377; 762
pdp10ki10_size=1900_sw_STOP_down_on.png;1333; 764
pdp10ki10_size=1900_sw_STOP_down_off.png;1334; 764
pdp10ki10_size=1900_sw_STOP_up_on.png;1333; 761
pdp10ki10_size=1900_sw_STOP_up_off.png;1333; 761
pdp10ki10_size=1900_sw_CONT_down_on.png;1290; 764
pdp10ki10_size=1900_sw_CONT_down_off.png;1290; 764
pdp10ki10_size=1900_sw_CONT_up_on.png;1289; 761
pdp10ki10_size=1900_sw_CONT_up_off.png;1289; 761
pdp10ki10_size=1900_sw_START_down_on.png;1247; 764
pdp10ki10_size=1900_sw_START_down_off.png;1247; 765
pdp10ki10_size=1900_sw_START_up_on.png;1246; 761
pdp10ki10_size=1900_sw_START_up_off.png;1246; 761
pdp10ki10_size=1900_sw_READ_IN_down_on.png;1203; 764
pdp10ki10_size=1900_sw_READ_IN_down_off.png;1203; 765
pdp10ki10_size=1900_sw_READ_IN_up_on.png;1204; 761
pdp10ki10_size=1900_sw_READ_IN_up_off.png;1202; 761
pdp10ki10_size=1900_sw_ADDRESS_BREAK_down_on.png;1117; 763
pdp10ki10_size=1900_sw_ADDRESS_BREAK_down_off.png;1117; 764
pdp10ki10_size=1900_sw_ADDRESS_BREAK_up_on.png;1117; 760
pdp10ki10_size=1900_sw_ADDRESS_BREAK_up_off.png;1116; 760
pdp10ki10_size=1900_sw_ADDRESS_STOP_down_on.png;1074; 764
pdp10ki10_size=1900_sw_ADDRESS_STOP_down_off.png;1074; 764
pdp10ki10_size=1900_sw_ADDRESS_STOP_up_on.png;1074; 761
pdp10ki10_size=1900_sw_ADDRESS_STOP_up_off.png;1074; 761
pdp10ki10_size=1900_sw_WRITE_down_on.png;1030; 764
pdp10ki10_size=1900_sw_WRITE_down_off.png;1030; 763
pdp10ki10_size=1900_sw_WRITE_up_on.png;1030; 760
pdp10ki10_size=1900_sw_WRITE_up_off.png;1030; 760
pdp10ki10_size=1900_sw_FETCH_DATA_down_on.png;988; 763
pdp10ki10_size=1900_sw_FETCH_DATA_down_off.png;987; 763
pdp10ki10_size=1900_sw_FETCH_DATA_up_on.png;988; 760
pdp10ki10_size=1900_sw_FETCH_DATA_up_off.png;988; 760
pdp10ki10_size=1900_sw_FETCH_INST_down_on.png;945; 763
pdp10ki10_size=1900_sw_FETCH_INST_down_off.png;945; 763
pdp10ki10_size=1900_sw_FETCH_INST_up_on.png;944; 760
pdp10ki10_size=1900_sw_FETCH_INST_up_off.png;943; 760
