filename;left;top
pdp10ki10_size=1580_Hintergrund.png;0; 0
pdp10ki10_size=1580_black.png;44; 22
pdp10ki10_size=1580_frame.png;42; 20
pdp10ki10_size=1580_background.png;0; 0
pdp10ki10_size=1580_org_picture.png;0; 0
pdp10ki10_size=1580_background_buttons_row11.png;564; 626
pdp10ki10_size=1580_background_buttons_row10.png;100; 558
pdp10ki10_size=1580_background_buttons_row9.png;496; 490
pdp10ki10_size=1580_background_lamps_row8.png;123; 460
pdp10ki10_size=1580_background_lamps_row7.png;711; 436
pdp10ki10_size=1580_background_lamps_row6.png;126; 419
pdp10ki10_size=1580_background_lamps_row5.png;127; 377
pdp10ki10_size=1580_background_lamps_row4.png;109; 336
pdp10ki10_size=1580_sw_DEPOSIT_NEXT_down_on.png;1360; 635
pdp10ki10_size=1580_sw_DEPOSIT_NEXT_down_off.png;1361; 635
pdp10ki10_size=1580_sw_DEPOSIT_NEXT_up_on.png;1360; 632
pdp10ki10_size=1580_sw_DEPOSIT_NEXT_up_off.png;1360; 632
pdp10ki10_size=1580_sw_DEPOSIT_THIS_down_on.png;1325; 635
pdp10ki10_size=1580_sw_DEPOSIT_THIS_down_off.png;1324; 635
pdp10ki10_size=1580_sw_DEPOSIT_THIS_up_on.png;1324; 632
pdp10ki10_size=1580_sw_DEPOSIT_THIS_up_off.png;1323; 632
pdp10ki10_size=1580_sw_EXAMINE_NEXT_down_on.png;1253; 635
pdp10ki10_size=1580_sw_EXAMINE_NEXT_down_off.png;1253; 635
pdp10ki10_size=1580_sw_EXAMINE_NEXT_up_on.png;1252; 632
pdp10ki10_size=1580_sw_EXAMINE_NEXT_up_off.png;1252; 632
pdp10ki10_size=1580_sw_EXAMINE_THIS_down_on.png;1217; 634
pdp10ki10_size=1580_sw_EXAMINE_THIS_down_off.png;1217; 634
pdp10ki10_size=1580_sw_EXAMINE_THIS_up_on.png;1216; 632
pdp10ki10_size=1580_sw_EXAMINE_THIS_up_off.png;1216; 632
pdp10ki10_size=1580_sw_XCT_down_on.png;1181; 635
pdp10ki10_size=1580_sw_XCT_down_off.png;1181; 635
pdp10ki10_size=1580_sw_XCT_up_on.png;1181; 632
pdp10ki10_size=1580_sw_XCT_up_off.png;1181; 632
pdp10ki10_size=1580_sw_RESET_down_on.png;1145; 635
pdp10ki10_size=1580_sw_RESET_down_off.png;1145; 635
pdp10ki10_size=1580_sw_RESET_up_on.png;1145; 633
pdp10ki10_size=1580_sw_RESET_up_off.png;1145; 633
pdp10ki10_size=1580_sw_STOP_down_on.png;1109; 635
pdp10ki10_size=1580_sw_STOP_down_off.png;1109; 635
pdp10ki10_size=1580_sw_STOP_up_on.png;1108; 632
pdp10ki10_size=1580_sw_STOP_up_off.png;1109; 633
pdp10ki10_size=1580_sw_CONT_down_on.png;1073; 635
pdp10ki10_size=1580_sw_CONT_down_off.png;1073; 635
pdp10ki10_size=1580_sw_CONT_up_on.png;1072; 632
pdp10ki10_size=1580_sw_CONT_up_off.png;1072; 632
pdp10ki10_size=1580_sw_START_down_on.png;1037; 635
pdp10ki10_size=1580_sw_START_down_off.png;1037; 635
pdp10ki10_size=1580_sw_START_up_on.png;1036; 632
pdp10ki10_size=1580_sw_START_up_off.png;1036; 632
pdp10ki10_size=1580_sw_READ_IN_down_on.png;1000; 635
pdp10ki10_size=1580_sw_READ_IN_down_off.png;1001; 635
pdp10ki10_size=1580_sw_READ_IN_up_on.png;1001; 633
pdp10ki10_size=1580_sw_READ_IN_up_off.png;1000; 633
