filename;left;top
pdp10ki10_size=1200_Hintergrund.png;0; 0
pdp10ki10_size=1200_black.png;33; 16
pdp10ki10_size=1200_frame.png;32; 15
pdp10ki10_size=1200_background.png;0; 0
pdp10ki10_size=1200_org_picture.png;0; 0
pdp10ki10_size=1200_background_buttons_row11.png;428; 475
pdp10ki10_size=1200_background_buttons_row10.png;76; 424
pdp10ki10_size=1200_background_buttons_row9.png;377; 372
pdp10ki10_size=1200_background_lamps_row8.png;94; 350
pdp10ki10_size=1200_background_lamps_row7.png;540; 331
pdp10ki10_size=1200_background_lamps_row6.png;96; 318
pdp10ki10_size=1200_background_lamps_row5.png;96; 286
pdp10ki10_size=1200_background_lamps_row4.png;83; 255
pdp10ki10_size=1200_sw_DEPOSIT_NEXT_down_on.png;1033; 482
pdp10ki10_size=1200_sw_DEPOSIT_NEXT_down_off.png;1034; 482
pdp10ki10_size=1200_sw_DEPOSIT_NEXT_up_on.png;1033; 480
pdp10ki10_size=1200_sw_DEPOSIT_NEXT_up_off.png;1033; 480
pdp10ki10_size=1200_sw_DEPOSIT_THIS_down_on.png;1006; 482
pdp10ki10_size=1200_sw_DEPOSIT_THIS_down_off.png;1005; 482
pdp10ki10_size=1200_sw_DEPOSIT_THIS_up_on.png;1005; 480
pdp10ki10_size=1200_sw_DEPOSIT_THIS_up_off.png;1005; 480
pdp10ki10_size=1200_sw_EXAMINE_NEXT_down_on.png;951; 482
pdp10ki10_size=1200_sw_EXAMINE_NEXT_down_off.png;951; 482
pdp10ki10_size=1200_sw_EXAMINE_NEXT_up_on.png;951; 480
pdp10ki10_size=1200_sw_EXAMINE_NEXT_up_off.png;951; 480
pdp10ki10_size=1200_sw_EXAMINE_THIS_down_on.png;924; 482
pdp10ki10_size=1200_sw_EXAMINE_THIS_down_off.png;924; 482
pdp10ki10_size=1200_sw_EXAMINE_THIS_up_on.png;924; 480
pdp10ki10_size=1200_sw_EXAMINE_THIS_up_off.png;924; 480
pdp10ki10_size=1200_sw_XCT_down_on.png;897; 482
pdp10ki10_size=1200_sw_XCT_down_off.png;897; 482
pdp10ki10_size=1200_sw_XCT_up_on.png;897; 480
pdp10ki10_size=1200_sw_XCT_up_off.png;897; 480
pdp10ki10_size=1200_sw_RESET_down_on.png;869; 482
pdp10ki10_size=1200_sw_RESET_down_off.png;870; 482
pdp10ki10_size=1200_sw_RESET_up_on.png;870; 481
pdp10ki10_size=1200_sw_RESET_up_off.png;869; 481
pdp10ki10_size=1200_sw_STOP_down_on.png;842; 482
pdp10ki10_size=1200_sw_STOP_down_off.png;842; 482
pdp10ki10_size=1200_sw_STOP_up_on.png;842; 480
pdp10ki10_size=1200_sw_STOP_up_off.png;842; 481
pdp10ki10_size=1200_sw_CONT_down_on.png;815; 482
pdp10ki10_size=1200_sw_CONT_down_off.png;815; 482
pdp10ki10_size=1200_sw_CONT_up_on.png;814; 480
pdp10ki10_size=1200_sw_CONT_up_off.png;814; 480
