filename;left;top
pdp10ki10_size=8844_Hintergrund.png;0; 0
pdp10ki10_size=8844_black.png;247; 124
pdp10ki10_size=8844_frame.png;237; 114
pdp10ki10_size=8844_background.png;0; 0
pdp10ki10_size=8844_org_picture.png;0; 0
pdp10ki10_size=8844_background_buttons_row11.png;3157; 3507
pdp10ki10_size=8844_background_buttons_row10.png;561; 3129
pdp10ki10_size=8844_background_buttons_row9.png;2779; 2748
pdp10ki10_size=8844_background_lamps_row8.png;693; 2580
pdp10ki10_size=8844_background_lamps_row7.png;3984; 2447
pdp10ki10_size=8844_background_lamps_row6.png;710; 2348
pdp10ki10_size=8844_background_lamps_row5.png;713; 2112
pdp10ki10_size=8844_background_lamps_row4.png;613; 1883
pdp10ki10_size=8844_sw_DEPOSIT_NEXT_down_on.png;7616; 3560
pdp10ki10_size=8844_sw_DEPOSIT_NEXT_down_off.png;7621; 3559
pdp10ki10_size=8844_sw_DEPOSIT_NEXT_up_on.png;7618; 3544
pdp10ki10_size=8844_sw_DEPOSIT_NEXT_up_off.png;7616; 3545
pdp10ki10_size=8844_sw_DEPOSIT_THIS_down_on.png;7417; 3558
pdp10ki10_size=8844_sw_DEPOSIT_THIS_down_off.png;7413; 3559
pdp10ki10_size=8844_sw_DEPOSIT_THIS_up_on.png;7412; 3545
pdp10ki10_size=8844_sw_DEPOSIT_THIS_up_off.png;7409; 3544
pdp10ki10_size=8844_sw_EXAMINE_NEXT_down_on.png;7016; 3557
pdp10ki10_size=8844_sw_EXAMINE_NEXT_down_off.png;7014; 3559
pdp10ki10_size=8844_sw_EXAMINE_NEXT_up_on.png;7012; 3541
pdp10ki10_size=8844_sw_EXAMINE_NEXT_up_off.png;7012; 3541
pdp10ki10_size=8844_sw_EXAMINE_THIS_down_on.png;6815; 3555
pdp10ki10_size=8844_sw_EXAMINE_THIS_down_off.png;6817; 3554
pdp10ki10_size=8844_sw_EXAMINE_THIS_up_on.png;6811; 3542
pdp10ki10_size=8844_sw_EXAMINE_THIS_up_off.png;6810; 3540
pdp10ki10_size=8844_sw_XCT_down_on.png;6612; 3557
pdp10ki10_size=8844_sw_XCT_down_off.png;6615; 3558
pdp10ki10_size=8844_sw_XCT_up_on.png;6611; 3544
pdp10ki10_size=8844_sw_XCT_up_off.png;6611; 3544
pdp10ki10_size=8844_sw_RESET_down_on.png;6410; 3557
pdp10ki10_size=8844_sw_RESET_down_off.png;6412; 3559
pdp10ki10_size=8844_sw_RESET_up_on.png;6412; 3547
pdp10ki10_size=8844_sw_RESET_up_off.png;6410; 3547
pdp10ki10_size=8844_sw_STOP_down_on.png;6208; 3558
pdp10ki10_size=8844_sw_STOP_down_off.png;6211; 3558
pdp10ki10_size=8844_sw_STOP_up_on.png;6206; 3545
pdp10ki10_size=8844_sw_STOP_up_off.png;6208; 3546
pdp10ki10_size=8844_sw_CONT_down_on.png;6007; 3557
pdp10ki10_size=8844_sw_CONT_down_off.png;6008; 3558
pdp10ki10_size=8844_sw_CONT_up_on.png;6001; 3545
pdp10ki10_size=8844_sw_CONT_up_off.png;6002; 3545
pdp10ki10_size=8844_sw_START_down_on.png;5805; 3559
pdp10ki10_size=8844_sw_START_down_off.png;5808; 3562
pdp10ki10_size=8844_sw_START_up_on.png;5804; 3545
pdp10ki10_size=8844_sw_START_up_off.png;5803; 3545
pdp10ki10_size=8844_sw_READ_IN_down_on.png;5603; 3559
pdp10ki10_size=8844_sw_READ_IN_down_off.png;5604; 3562
pdp10ki10_size=8844_sw_READ_IN_up_on.png;5605; 3546
pdp10ki10_size=8844_sw_READ_IN_up_off.png;5599; 3546
pdp10ki10_size=8844_sw_ADDRESS_BREAK_down_on.png;5200; 3555
pdp10ki10_size=8844_sw_ADDRESS_BREAK_down_off.png;5200; 3557
pdp10ki10_size=8844_sw_ADDRESS_BREAK_up_on.png;5200; 3538
pdp10ki10_size=8844_sw_ADDRESS_BREAK_up_off.png;5198; 3539
pdp10ki10_size=8844_sw_ADDRESS_STOP_down_on.png;5001; 3557
pdp10ki10_size=8844_sw_ADDRESS_STOP_down_off.png;5003; 3558
pdp10ki10_size=8844_sw_ADDRESS_STOP_up_on.png;5002; 3544
pdp10ki10_size=8844_sw_ADDRESS_STOP_up_off.png;5000; 3545
pdp10ki10_size=8844_sw_WRITE_down_on.png;4799; 3557
pdp10ki10_size=8844_sw_WRITE_down_off.png;4799; 3556
pdp10ki10_size=8844_sw_WRITE_up_on.png;4799; 3541
pdp10ki10_size=8844_sw_WRITE_up_off.png;4797; 3541
pdp10ki10_size=8844_sw_FETCH_DATA_down_on.png;4601; 3553
pdp10ki10_size=8844_sw_FETCH_DATA_down_off.png;4598; 3555
pdp10ki10_size=8844_sw_FETCH_DATA_up_on.png;4601; 3539
pdp10ki10_size=8844_sw_FETCH_DATA_up_off.png;4601; 3540
pdp10ki10_size=8844_sw_FETCH_INST_down_on.png;4401; 3553
pdp10ki10_size=8844_sw_FETCH_INST_down_off.png;4403; 3555
pdp10ki10_size=8844_sw_FETCH_INST_up_on.png;4396; 3540
pdp10ki10_size=8844_sw_FETCH_INST_up_off.png;4393; 3540
pdp10ki10_size=8844_sw_REPEAT_down_on.png;4001; 3556
pdp10ki10_size=8844_sw_REPEAT_down_off.png;4002; 3557
pdp10ki10_size=8844_sw_REPEAT_up_on.png;4000; 3540
pdp10ki10_size=8844_sw_REPEAT_up_off.png;4000; 3540
pdp10ki10_size=8844_sw_STOP_NXM_down_on.png;3797; 3549
pdp10ki10_size=8844_sw_STOP_NXM_down_off.png;3801; 3552
pdp10ki10_size=8844_sw_STOP_NXM_up_on.png;3799; 3536
pdp10ki10_size=8844_sw_STOP_NXM_up_off.png;3798; 3536
pdp10ki10_size=8844_sw_STOP_PAR_down_on.png;3604; 3550
pdp10ki10_size=8844_sw_STOP_PAR_down_off.png;3608; 3554
pdp10ki10_size=8844_sw_STOP_PAR_up_on.png;3600; 3538
pdp10ki10_size=8844_sw_STOP_PAR_up_off.png;3601; 3537
pdp10ki10_size=8844_sw_SINGLE_PULSER_down_on.png;3402; 3553
pdp10ki10_size=8844_sw_SINGLE_PULSER_down_off.png;3402; 3554
pdp10ki10_size=8844_sw_SINGLE_PULSER_up_on.png;3398; 3541
pdp10ki10_size=8844_sw_SINGLE_PULSER_up_off.png;3399; 3540
pdp10ki10_size=8844_sw_SINGLE_INST_down_on.png;3201; 3556
pdp10ki10_size=8844_sw_SINGLE_INST_down_off.png;3201; 3557
pdp10ki10_size=8844_sw_SINGLE_INST_up_on.png;3193; 3543
pdp10ki10_size=8844_sw_SINGLE_INST_up_off.png;3194; 3542
pdp10ki10_size=8844_sw_DATA_LOAD_down_on.png;8094; 3185
pdp10ki10_size=8844_sw_DATA_LOAD_down_off.png;8095; 3185
pdp10ki10_size=8844_sw_DATA_LOAD_up_on.png;8087; 3170
pdp10ki10_size=8844_sw_DATA_LOAD_up_off.png;8089; 3169
pdp10ki10_size=8844_sw_DATA_CLEAR_down_on.png;7890; 3185
pdp10ki10_size=8844_sw_DATA_CLEAR_down_off.png;7891; 3186
pdp10ki10_size=8844_sw_DATA_CLEAR_up_on.png;7886; 3170
pdp10ki10_size=8844_sw_DATA_CLEAR_up_off.png;7881; 3170
pdp10ki10_size=8844_sw_DATA35_down_on.png;7602; 3188
pdp10ki10_size=8844_sw_DATA35_down_off.png;7605; 3187
pdp10ki10_size=8844_sw_DATA35_up_on.png;7602; 3170
pdp10ki10_size=8844_sw_DATA35_up_off.png;7600; 3170
pdp10ki10_size=8844_sw_DATA34_down_on.png;7401; 3184
pdp10ki10_size=8844_sw_DATA34_down_off.png;7398; 3186
pdp10ki10_size=8844_sw_DATA34_up_on.png;7399; 3171
pdp10ki10_size=8844_sw_DATA34_up_off.png;7400; 3171
pdp10ki10_size=8844_sw_DATA33_down_on.png;7198; 3182
pdp10ki10_size=8844_sw_DATA33_down_off.png;7198; 3184
pdp10ki10_size=8844_sw_DATA33_up_on.png;7196; 3169
pdp10ki10_size=8844_sw_DATA33_up_off.png;7199; 3167
pdp10ki10_size=8844_sw_DATA32_down_on.png;6994; 3184
pdp10ki10_size=8844_sw_DATA32_down_off.png;6996; 3185
pdp10ki10_size=8844_sw_DATA32_up_on.png;6996; 3169
