filename;left;top
pdp1140industrial_size=1000_0000_background.png;0;0
pdp1140industrial_size=1000_0000s_0000_led_A17.png;92;192
pdp1140industrial_size=1000_0000s_0001_led_A16.png;122;192
pdp1140industrial_size=1000_0000s_0002_led_A15.png;152;192
pdp1140industrial_size=1000_0000s_0003_led_A14.png;181;192
pdp1140industrial_size=1000_0000s_0004_led_A13.png;211;192
pdp1140industrial_size=1000_0000s_0005_led_A12.png;241;192
pdp1140industrial_size=1000_0000s_0006_led_A11.png;270;192
pdp1140industrial_size=1000_0000s_0007_led_A10.png;300;192
pdp1140industrial_size=1000_0000s_0008_led_A09.png;330;192
pdp1140industrial_size=1000_0000s_0009_led_A08.png;359;192
pdp1140industrial_size=1000_0000s_0010_led_A07.png;389;192
pdp1140industrial_size=1000_0000s_0011_led_A06.png;419;192
pdp1140industrial_size=1000_0000s_0012_led_A05.png;448;192
pdp1140industrial_size=1000_0000s_0013_led_A04.png;478;192
pdp1140industrial_size=1000_0000s_0014_led_A03.png;507;191
pdp1140industrial_size=1000_0000s_0015_led_A02.png;537;192
pdp1140industrial_size=1000_0000s_0016_led_A01.png;567;192
pdp1140industrial_size=1000_0000s_0017_led_A00.png;597;192
pdp1140industrial_size=1000_0001s_0000_led_D15.png;152;280
pdp1140industrial_size=1000_0001s_0001_led_D14.png;181;280
pdp1140industrial_size=1000_0001s_0002_led_D13.png;211;280
pdp1140industrial_size=1000_0001s_0003_led_D12.png;241;281
pdp1140industrial_size=1000_0001s_0004_led_D11.png;270;281
pdp1140industrial_size=1000_0001s_0005_led_D10.png;300;280
pdp1140industrial_size=1000_0001s_0006_led_D09.png;330;280
pdp1140industrial_size=1000_0001s_0007_led_D08.png;359;280
pdp1140industrial_size=1000_0001s_0008_led_D07.png;389;281
pdp1140industrial_size=1000_0001s_0009_led_D06.png;418;280
pdp1140industrial_size=1000_0001s_0010_led_D05.png;448;280
pdp1140industrial_size=1000_0001s_0011_led_D04.png;478;281
pdp1140industrial_size=1000_0001s_0012_led_D03.png;507;280
pdp1140industrial_size=1000_0001s_0013_led_D02.png;537;280
pdp1140industrial_size=1000_0001s_0014_led_D01.png;567;281
pdp1140industrial_size=1000_0001s_0015_led_D00.png;597;280
pdp1140industrial_size=1000_0002s_0000_led_RUN.png;716;252
pdp1140industrial_size=1000_0002s_0001_led_BUS.png;775;252
pdp1140industrial_size=1000_0002s_0002_led_USER.png;834;252
pdp1140industrial_size=1000_0002s_0003_led_PROC.png;716;281
pdp1140industrial_size=1000_0002s_0004_led_CONSOLE.png;774;281
pdp1140industrial_size=1000_0002s_0005_led_VIRTUAL.png;834;281
pdp1140industrial_size=1000_0003s_0000_switch_LOADADRS_down.png;675;410
pdp1140industrial_size=1000_0003s_0001_switch_EXAM_down.png;703;410
pdp1140industrial_size=1000_0003s_0002_switch_CONT_down.png;735;409
pdp1140industrial_size=1000_0003s_0003_switch_HALT_down.png;765;410
pdp1140industrial_size=1000_0003s_0004_switch_START_down.png;795;409
pdp1140industrial_size=1000_0003s_0005_switch_DEP_up.png;884;408
pdp1140industrial_size=1000_0004s_0000_switch_SR17_up.png;82;412
pdp1140industrial_size=1000_0004s_0001_switch_SR16_up.png;113;412
pdp1140industrial_size=1000_0004s_0002_switch_SR15_up.png;142;411
pdp1140industrial_size=1000_0004s_0003_switch_SR14_up.png;171;412
pdp1140industrial_size=1000_0004s_0004_switch_SR13_up.png;202;411
pdp1140industrial_size=1000_0004s_0005_switch_SR12_up.png;231;412
pdp1140industrial_size=1000_0004s_0006_switch_SR11_up.png;261;411
pdp1140industrial_size=1000_0004s_0007_switch_SR10_up.png;291;412
pdp1140industrial_size=1000_0004s_0008_switch_SR09_up.png;321;411
pdp1140industrial_size=1000_0004s_0009_switch_SR08_up.png;350;411
pdp1140industrial_size=1000_0004s_0010_switch_SR07_up.png;380;411
pdp1140industrial_size=1000_0004s_0011_switch_SR06_up.png;409;411
pdp1140industrial_size=1000_0004s_0012_switch_SR05_up.png;440;411
pdp1140industrial_size=1000_0004s_0013_switch_SR04_up.png;469;411
pdp1140industrial_size=1000_0004s_0014_switch_SR03_up.png;501;411
pdp1140industrial_size=1000_0004s_0015_switch_SR02_up.png;529;411
pdp1140industrial_size=1000_0004s_0016_switch_SR01_up.png;558;411
pdp1140industrial_size=1000_0004s_0017_switch_SR00_up.png;588;410
