filename;left;top
pdp1140industrial_size=800_0000_background.png;0;0
pdp1140industrial_size=800_0000s_0000_led_A17.png;74;153
pdp1140industrial_size=800_0000s_0001_led_A16.png;98;154
pdp1140industrial_size=800_0000s_0002_led_A15.png;121;154
pdp1140industrial_size=800_0000s_0003_led_A14.png;145;154
pdp1140industrial_size=800_0000s_0004_led_A13.png;169;154
pdp1140industrial_size=800_0000s_0005_led_A12.png;192;153
pdp1140industrial_size=800_0000s_0006_led_A11.png;216;154
pdp1140industrial_size=800_0000s_0007_led_A10.png;240;153
pdp1140industrial_size=800_0000s_0008_led_A09.png;264;154
pdp1140industrial_size=800_0000s_0009_led_A08.png;287;154
pdp1140industrial_size=800_0000s_0010_led_A07.png;311;154
pdp1140industrial_size=800_0000s_0011_led_A06.png;335;154
pdp1140industrial_size=800_0000s_0012_led_A05.png;359;154
pdp1140industrial_size=800_0000s_0013_led_A04.png;382;154
pdp1140industrial_size=800_0000s_0014_led_A03.png;406;153
pdp1140industrial_size=800_0000s_0015_led_A02.png;430;153
pdp1140industrial_size=800_0000s_0016_led_A01.png;454;154
pdp1140industrial_size=800_0000s_0017_led_A00.png;477;154
pdp1140industrial_size=800_0001s_0000_led_D15.png;122;224
pdp1140industrial_size=800_0001s_0001_led_D14.png;145;224
pdp1140industrial_size=800_0001s_0002_led_D13.png;169;224
pdp1140industrial_size=800_0001s_0003_led_D12.png;193;224
pdp1140industrial_size=800_0001s_0004_led_D11.png;216;224
pdp1140industrial_size=800_0001s_0005_led_D10.png;240;224
pdp1140industrial_size=800_0001s_0006_led_D09.png;264;224
pdp1140industrial_size=800_0001s_0007_led_D08.png;287;224
pdp1140industrial_size=800_0001s_0008_led_D07.png;311;224
pdp1140industrial_size=800_0001s_0009_led_D06.png;335;224
pdp1140industrial_size=800_0001s_0010_led_D05.png;359;224
pdp1140industrial_size=800_0001s_0011_led_D04.png;382;224
pdp1140industrial_size=800_0001s_0012_led_D03.png;406;224
pdp1140industrial_size=800_0001s_0013_led_D02.png;430;224
pdp1140industrial_size=800_0001s_0014_led_D01.png;453;224
pdp1140industrial_size=800_0001s_0015_led_D00.png;477;224
pdp1140industrial_size=800_0002s_0000_led_RUN.png;572;201
pdp1140industrial_size=800_0002s_0001_led_BUS.png;620;202
pdp1140industrial_size=800_0002s_0002_led_USER.png;667;201
pdp1140industrial_size=800_0002s_0003_led_PROC.png;572;224
pdp1140industrial_size=800_0002s_0004_led_CONSOLE.png;619;225
pdp1140industrial_size=800_0002s_0005_led_VIRTUAL.png;667;225
pdp1140industrial_size=800_0003s_0000_switch_LOADADRS_down.png;540;328
pdp1140industrial_size=800_0003s_0001_switch_EXAM_down.png;562;328
pdp1140industrial_size=800_0003s_0002_switch_CONT_down.png;588;327
pdp1140industrial_size=800_0003s_0003_switch_HALT_down.png;612;328
pdp1140industrial_size=800_0003s_0004_switch_START_down.png;636;327
pdp1140industrial_size=800_0003s_0005_switch_DEP_up.png;707;326
pdp1140industrial_size=800_0004s_0000_switch_SR17_up.png;66;329
pdp1140industrial_size=800_0004s_0001_switch_SR16_up.png;90;329
pdp1140industrial_size=800_0004s_0002_switch_SR15_up.png;114;329
pdp1140industrial_size=800_0004s_0003_switch_SR14_up.png;137;329
pdp1140industrial_size=800_0004s_0004_switch_SR13_up.png;161;328
pdp1140industrial_size=800_0004s_0005_switch_SR12_up.png;185;329
pdp1140industrial_size=800_0004s_0006_switch_SR11_up.png;209;328
pdp1140industrial_size=800_0004s_0007_switch_SR10_up.png;233;329
pdp1140industrial_size=800_0004s_0008_switch_SR09_up.png;256;329
pdp1140industrial_size=800_0004s_0009_switch_SR08_up.png;280;329
pdp1140industrial_size=800_0004s_0010_switch_SR07_up.png;304;329
pdp1140industrial_size=800_0004s_0011_switch_SR06_up.png;327;328
pdp1140industrial_size=800_0004s_0012_switch_SR05_up.png;352;329
pdp1140industrial_size=800_0004s_0013_switch_SR04_up.png;375;329
pdp1140industrial_size=800_0004s_0014_switch_SR03_up.png;400;329
pdp1140industrial_size=800_0004s_0015_switch_SR02_up.png;423;329
pdp1140industrial_size=800_0004s_0016_switch_SR01_up.png;447;329
pdp1140industrial_size=800_0004s_0017_switch_SR00_up.png;470;328
